id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
113,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Mask,Inheritance instead of composition,SuperClass: WebShape,,
114,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,ForeignObject,Inheritance instead of composition,SuperClass: WebShape,,
115,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Marker,Inheritance instead of composition,SuperClass: WebShape,,
116,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,Pattern,Inheritance instead of composition,SuperClass: WebShape,,
117,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Circle.js,Circle,Inheritance instead of composition,SuperClass: Shape,,
118,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/ClipPath.js,ClipPath,Inheritance instead of composition,SuperClass: Shape,,
119,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Ellipse.js,Ellipse,Inheritance instead of composition,SuperClass: Shape,,
120,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/ForeignObject.js,ForeignObject,Inheritance instead of composition,SuperClass: G,,
121,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/G.js,G,Inheritance instead of composition,SuperClass: Shape,,
122,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Image.js,SvgImage,Inheritance instead of composition,SuperClass: Shape,,
123,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Line.js,Line,Inheritance instead of composition,SuperClass: Shape,,
124,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/LinearGradient.js,LinearGradient,Inheritance instead of composition,SuperClass: Shape,,
125,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Marker.js,Marker,Inheritance instead of composition,SuperClass: Shape,,
126,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Mask.js,Mask,Inheritance instead of composition,SuperClass: Shape,,
127,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Path.js,Path,Inheritance instead of composition,SuperClass: Shape,,
128,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Pattern.js,Pattern,Large Component,LOC: 48; Number of props: 16; Number of attributes: 2; Number of methods: 0,,
129,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Pattern.js,Pattern,Too many props,"Number of props: 16; Props: x,y,width,height,props,patternTransform,transform,id,patternUnits,patternContentUnits,children,viewBox,preserveAspectRatio,name,matrix,ref",,
130,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Pattern.js,Pattern,Inheritance instead of composition,SuperClass: Shape,,
131,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Polygon.js,Polygon,Inheritance instead of composition,SuperClass: Shape,,
132,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Polyline.js,Polyline,Inheritance instead of composition,SuperClass: Shape,,
133,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/RadialGradient.js,RadialGradient,Inheritance instead of composition,SuperClass: Shape,,
134,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Rect.js,Rect,Inheritance instead of composition,SuperClass: Shape,,
135,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Svg.js,Svg,Large Component,LOC: 158; Number of props: 28; Number of attributes: 2; Number of methods: 5,,
136,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Svg.js,Svg,Too many props,"Number of props: 28; Props: preserveAspectRatio,root,width,height,bbWidth,bbHeight,style,opacity,viewBox,children,onLayout,color,focusable,transform,font,fill,fillOpacity,fillRule,stroke,strokeWidth,strokeOpacity,strokeDasharray,strokeDashoffset,strokeLinecap,strokeLinejoin,strokeMiterlimit,tintColor,ref",,
137,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Svg.js,Svg,Inheritance instead of composition,SuperClass: Shape,,
138,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Symbol.js,Symbol,Inheritance instead of composition,SuperClass: Shape,,
139,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/TSpan.js,TSpan,Inheritance instead of composition,SuperClass: Shape,,
140,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Text.js,Text,Inheritance instead of composition,SuperClass: Shape,,
141,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/TextPath.js,TextPath,Inheritance instead of composition,SuperClass: Shape,,
142,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/elements/Use.js,Use,Inheritance instead of composition,SuperClass: Shape,,
143,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Circle.tsx,Circle,Inheritance instead of composition,SuperClass: Shape,,
144,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/ClipPath.tsx,ClipPath,Inheritance instead of composition,SuperClass: Shape,,
145,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Ellipse.tsx,Ellipse,Inheritance instead of composition,SuperClass: Shape,,
146,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/ForeignObject.tsx,ForeignObject,Inheritance instead of composition,SuperClass: G,,
147,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/G.tsx,G,Inheritance instead of composition,SuperClass: Shape,,
148,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Image.tsx,SvgImage,Inheritance instead of composition,SuperClass: Shape,,
149,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Line.tsx,Line,Inheritance instead of composition,SuperClass: Shape,,
150,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/LinearGradient.tsx,LinearGradient,Inheritance instead of composition,SuperClass: Shape,,
151,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Marker.tsx,Marker,Inheritance instead of composition,SuperClass: Shape,,
152,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Mask.tsx,Mask,Inheritance instead of composition,SuperClass: Shape,,
153,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Path.tsx,Path,Inheritance instead of composition,SuperClass: Shape,,
154,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Pattern.tsx,Pattern,Large Component,LOC: 52; Number of props: 15; Number of attributes: 2; Number of methods: 0,,
155,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Pattern.tsx,Pattern,Too many props,"Number of props: 15; Props: x,y,width,height,props,patternTransform,transform,id,patternUnits,patternContentUnits,children,viewBox,preserveAspectRatio,name,matrix",,
156,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Pattern.tsx,Pattern,Inheritance instead of composition,SuperClass: Shape,,
157,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Polygon.tsx,Polygon,Inheritance instead of composition,SuperClass: Shape,,
158,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Polyline.tsx,Polyline,Inheritance instead of composition,SuperClass: Shape,,
159,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/RadialGradient.tsx,RadialGradient,Inheritance instead of composition,SuperClass: Shape,,
160,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Rect.tsx,Rect,Inheritance instead of composition,SuperClass: Shape,,
161,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Svg.tsx,Svg,Large Component,LOC: 185; Number of props: 27; Number of attributes: 2; Number of methods: 5,,
162,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Svg.tsx,Svg,Too many props,"Number of props: 27; Props: preserveAspectRatio,root,width,height,bbWidth,bbHeight,style,opacity,viewBox,children,onLayout,color,focusable,transform,font,fill,fillOpacity,fillRule,stroke,strokeWidth,strokeOpacity,strokeDasharray,strokeDashoffset,strokeLinecap,strokeLinejoin,strokeMiterlimit,tintColor",,
163,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Svg.tsx,Svg,Inheritance instead of composition,SuperClass: Shape,,
164,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Svg.tsx,Svg,JSX outside the render method,"Methods with JSX: measureInWindow,measure,measureLayout,setNativeProps,toDataURL",,
165,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Symbol.tsx,Symbol,Inheritance instead of composition,SuperClass: Shape,,
166,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/TSpan.tsx,TSpan,Inheritance instead of composition,SuperClass: Shape,,
167,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Text.tsx,Text,Inheritance instead of composition,SuperClass: Shape,,
168,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/TextPath.tsx,TextPath,Inheritance instead of composition,SuperClass: Shape,,
169,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Use.tsx,Use,Inheritance instead of composition,SuperClass: Shape,,
